,zipcode,overall_crime_rate,violent_crime_rate,poverty_crime_rate,other_crime_rate,risk,crime_rate_nearby,similar_population_crime_rate
1,37203,0,0,0,1,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2,90026,0,0,0.67,0,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
3,92109,2,1.67,2.33,1.33,300%,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2"
4,20002,0,0,0.67,0.67,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5,70119,0,0,0,1,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
6,94117,1.67,0,1.67,2.33,300%,"1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67","1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67"
7,70130,0.67,0,0.67,1.33,300%,"0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67","0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67"
8,10016,0.67,0,0.67,0.67,300%,"0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67","0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67"
9,11232,0,0.67,0.67,0,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
10,10065,0,0,0.67,0,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
11,11221,0.67,2,1,0.67,300%,"0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67","0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67"
12,98109,0.67,1,0,3.33,300%,"0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67","0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67"
13,60640,1.33,0.67,1,1.67,300%,"1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33","1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33"
14,11211,0,1,0.67,0,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
15,90019,0,0,1,0,300%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
16,11234,3,3,3.67,1.33,300%,"3, 3, 3, 3, 3, 3, 3, 3, 3, 3","3, 3, 3, 3, 3, 3, 3, 3, 3, 3"
