x.zipcode,x.state,avg_price,avg_price_per_sqft,median_price,median_price_per_sqft,listings_count,average_occupancy,average_rental_income,average_night_price
37203,TN,798207.141,611.522,699000,538,542,45.55350553505535,4024.571955719557,342.640221402214
90026,CA,1472990.99,3765.971,1300000,771,339,58.3716814159292,3281.778761061947,195.5486725663717
92109,CA,1587822.58,1082.398,1549999,906,1073,42.520037278657966,4272.645852749301,372.8052190121156
20002,DC,777899.024,560.429,699900,524,714,59.45238095238095,2993.796918767507,172.5140056022409
70119,LA,447797.201,236.919,399000,223,678,46.52654867256637,2853.2094395280237,222.7197640117994
94117,CA,1954697.705,3913.505,1595000,989,330,64.76969696969697,4937.278787878788,258.2181818181818
70130,LA,666562.606,404.611,524500,375,726,42.43250688705234,3226.5798898071625,289.8374655647383
10016,NY,1729858.062,1566.128,1195000,1494,206,56.10679611650485,4012.9077669902913,238.5097087378641
11232,NY,1335027.733,774.389,1349500,764,57,72.19298245614036,4584.473684210527,208.40350877192984
10065,NY,3433192.116,1685.606,1750000,1580,76,60.35526315789474,4621.5921052631575,246.98684210526315
11221,NY,1385784.548,1018.98,1299000,589,360,62.225,3582.1944444444443,196.73333333333332
98109,WA,1067334.841,689.175,837475,659,165,60.339393939393936,3625.4848484848485,201.4060606060606
60640,IL,423069.415,281.302,329500,250,110,60.72727272727273,2970.5,168.76363636363635
11211,NY,1887289.891,1207.669,1672500,1250,396,68.47727272727273,4788.10101010101,235.6060606060606
90019,CA,1632783.985,685.182,1500000,660,186,44.38172043010753,2894.3817204301076,228.41397849462365
11234,NY,858623.665,1370.989,789000,514,100,44.96,2194.35,167.5
10017,NY,1406548.379,1320.406,872500,1286,79,63.49367088607595,4405.202531645569,256.37974683544303
11215,NY,1980315.494,1219.493,1647500,1156,277,69.2418772563177,4564.303249097473,222.8086642599278
10014,NY,3362381.282,2607.669,1864500,2270,150,67.94,5393.56,266.6933333333333
70117,LA,346876.444,203.65,312500,177,508,50.18307086614173,3008.998031496063,216.28149606299212
02118,MA,859103.448,4000.686,685250,1424,NA,NA,NA,NA
10025,NY,2230430.086,1704.455,1525000,1811,148,67.52027027027027,4956.77027027027,239.19594594594594
11222,NY,1772148.13,1276.335,1450000,1294,339,62.05899705014749,4035.9970501474927,220.5103244837758
70115,LA,645547.929,321.042,555000,311,470,47.88085106382979,3164.714893617021,230.39148936170213
78704,TX,1207906.162,671.9,929900,626,981,49.27013251783894,3126.4903160040776,243.19062181447504
98117,WA,1007043.576,593.489,899975,562,276,57.59057971014493,2729.268115942029,167.70652173913044
91030,CA,1453241.356,846.336,1349500,823,45,60.977777777777774,3486.133333333333,196.22222222222223
97213,OR,574942.492,315.021,550000,303,4,77.25,3713.75,149.5
37206,TN,778317.72,392.458,722580,366,381,51.112860892388454,3591.472440944882,268.2755905511811
80212,CO,1038173.341,486.941,870000,470,218,50.321100917431195,2261.623853211009,167.5091743119266
78702,TX,803023.484,629.446,710372,586,967,48.77352637021717,3671.4974146845916,276.3971044467425
60647,IL,671899.79,349.542,583000,312,279,51.24014336917563,2652.5340501792116,178.90322580645162
11237,NY,1300999.968,560.494,1300000,465,185,64.34594594594594,3339.091891891892,178.35675675675677
90703,CA,927767.963,563.387,927444,562,9,55.55555555555556,3556.6666666666665,253.77777777777777
97202,OR,725128.264,343.261,649950,333,375,63.57333333333333,2984.352,158.50666666666666
91311,CA,940310.174,453.239,799450,438,57,52.3859649122807,3871.7719298245615,268.6140350877193
37210,TN,596152.285,388.199,450000,349,308,58.05194805194805,4210.444805194805,256.37987012987014
60645,IL,313924.692,187.193,227250,164,27,49.148148148148145,2315.962962962963,170.37037037037038
10031,NY,927015.192,538.068,532500,569,133,66.2406015037594,3626.4887218045114,182.11278195488723
10128,NY,2658192.903,1554.944,1312000,1270,90,66.66666666666667,3535.4555555555557,183.01111111111112
78723,TX,702759.147,419.661,650000,407,232,47.89224137931034,2890.7155172413795,215.60344827586206
37212,TN,1071649.811,525.626,837000,481,302,45.870860927152314,3418.801324503311,288.7317880794702
11224,NY,716847.86,497.427,599000,461,28,59.392857142857146,2892.1428571428573,161.10714285714286
37218,TN,608332.467,291.652,479900,268,41,40.51219512195122,3158.7073170731705,318.5853658536585
90042,CA,1007531.458,745.196,982494,703,290,63.87241379310345,3888.2965517241378,209.97241379310344
78758,TX,486303.456,325.57,489900,326,222,45.445945945945944,2205.265765765766,170.6216216216216
37215,TN,1761038.793,445.859,1300000,413,31,60.193548387096776,2868.451612903226,181.83870967741936
78741,TX,524376.072,384.245,489000,352,360,42.90277777777778,2642.1805555555557,248.30277777777778
90036,CA,1994770.437,798.025,1929000,766,324,50.648148148148145,3588.617283950617,239.75617283950618
91748,CA,892183.225,518.897,825195,503,171,45.69005847953216,2776.2573099415204,204.61988304093566
90038,CA,NA,NA,NA,NA,463,52.09287257019439,2959.1900647948164,200.96328293736502
98122,WA,1032675.337,645.62,849950,641,350,59.037142857142854,3283.5857142857144,192.68571428571428
20005,DC,668972.09,763.608,569900,695,88,46.34090909090909,2944.590909090909,248.75
20003,DC,900239.509,693.656,852500,655,370,60.445945945945944,3242.991891891892,181.02702702702703
91006,CA,1344433.253,689.982,1200000,678,63,47.44444444444444,2433.9206349206347,167.84126984126985
37013,TN,401561.671,610.632,377990,216,48,64.89583333333333,3387.1041666666665,179.39583333333334
78725,TX,370968.552,241.983,350000,227,8,29.75,2030.125,266.625
