zipcode,walk_score,bike_score
37203,79,75
90026,97,60
92109,70,71
20002,84,68
70119,85,97
94117,97,74
70130,93,80
10016,00,80
11232,92,72
10065,99,83
11221,93,71
98109,86,74
60640,90,92
11211,99,91
90019,91,66
11234,7,60
10017,99,77
11215,97,90
10014,98,94
70117,78,84
02118,94,91
10025,99,84
11222,99,96
70115,94,75
78704,82,70
98117,79,74
91030,80,61
97213,76,99
37206,23,32
80212,88,66
78702,95,92
60647,92,99
11237,98,95
90703,69,50
97202,55,95
91311,5,2
37210,17,25
60645,83,67
10031,99,80
10128,00,73
78723,63,64
37212,76,64
11224,88,62
37218,0,NA
90042,89,62
78758,28,63
37215,0,7
78741,26,38
90036,89,66
91748,49,38
90038,94,73
98122,83,91
20005,97,99
20003,95,88
91006,41,40
37013,25,7
78725,0,25
90029,87,78
10024,98,85
90004,97,64
95003,0,13
97217,29,68
02127,92,64
60657,98,86
90068,0,20
90027,0,30
10022,00,82
90046,5,4
02119,64,63
60618,92,81
10002,98,97
11214,97,70
02130,92,96
90043,82,52
10013,99,93
11354,92,65
10314,50,39
02125,80,58
11103,98,67
80211,85,84
94605,33,29
11105,83,73
90402,45,61
90017,93,64
80210,77,86
11220,95,77
60624,77,77
90048,95,69
80203,96,94
60653,70,78
11217,99,93
91502,80,65
91606,85,64
94131,72,58
10075,99,85
92101,96,47
60608,74,78
10011,90,84
11231,82,95
10019,94,91
90006,90,71
94109,00,79
11201,92,90
92105,48,21
10009,98,99
90069,84,33
10018,98,92
91104,79,79
10027,93,60
02113,00,88
92117,44,32
10036,99,95
90291,88,94
90290,0,5
94110,99,87
02116,99,84
90405,73,82
11373,98,78
37138,23,17
80207,60,83
11421,90,54
11209,99,75
90813,87,84
20010,93,87
10032,86,51
90025,95,78
90404,89,98
70116,95,00
90746,53,54
90016,80,82
60610,0,NA
10162,97,84
11216,99,86
02111,98,80
92037,13,23
91607,84,70
10001,98,92
10040,77,52
37220,5,13
60622,85,97
11212,72,76
11208,87,61
92107,80,51
94123,00,92
60601,99,82
78729,3,25
90302,85,55
91601,86,69
78750,7,20
60660,0,NA
11219,81,62
10035,19,56
90292,36,54
11249,98,95
90012,90,37
70112,78,95
90034,85,80
92104,77,55
90802,7,30
94116,86,62
11369,40,79
60612,74,95
90045,54,51
90058,35,34
90250,86,66
98101,99,70
90028,96,75
78705,91,85
02135,32,57
02108,98,70
94108,00,59
98102,78,66
37201,73,70
80222,58,64
20037,97,94
78751,86,87
11238,98,94
94103,99,99
11233,88,65
91423,87,55
37217,2,2
97211,37,65
90015,90,86
10303,44,27
90024,39,59
11432,61,51
60642,63,88
10039,90,84
98115,61,71
92102,86,57
98105,18,39
10012,00,95
02115,97,90
97215,44,64
20001,95,94
97214,92,95
90021,69,71
94121,85,58
11236,88,51
91007,59,45
11355,89,75
37209,0,NA
90020,97,66
11102,94,87
11385,82,69
90041,80,42
91910,43,35
78757,74,82
97222,77,81
11226,83,73
78759,73,57
20009,97,93
