zipcode,area_land_meters,area_water_meters
95665,52544313.0,135304.0
93628,92946709.0,346818.0
73722,438880089.0,559759.0
57010,146040818.0,3056561.0
66834,398364936.0,1436676.0
78244,24051439.0,350412.0
89423,179364658.0,669600.0
66851,182627569.0,465528.0
68406,138720948.0,22228.0
39166,160620298.0,8001609.0
87540,219662526.0,21806.0
87310,473964386.0,69832.0
77089,34256689.0,143006.0
65231,320847833.0,2331125.0
73034,140302386.0,6492624.0
87104,11011051.0,913322.0
92570,252030246.0,98670.0
78015,54191661.0,57234.0
68742,100904115.0,28316.0
75104,101138796.0,643670.0
75044,27812904.0,175910.0
64448,98694581.0,322989.0
78012,86227830.0,222507.0
84069,165785751.0,670.0
81610,804607159.0,222970.0
89003,809262054.0,79534.0
71326,208244261.0,4897674.0
67880,1649972071.0,890022.0
67638,178509400.0,93394.0
95944,130825646.0,302289.0
56116,110508809.0,17475.0
87026,1308516455.0,1071139.0
76578,194365752.0,2510350.0
39483,401338245.0,4704206.0
84307,1144308586.0,7278798.0
68863,316230056.0,5657228.0
68833,1190589169.0,5198903.0
84031,794069671.0,4940132.0
78676,434011968.0,236261.0
71935,303307029.0,1287647.0
74063,351616254.0,19935349.0
70721,13156473.0,3307135.0
74851,220740301.0,3078453.0
93203,556194471.0,256274.0
72633,244658142.0,68393.0
68455,89906782.0,1420705.0
76933,672817450.0,2026603.0
78248,10153187.0,6774.0
64081,36948970.0,88829.0
91351,24789132.0,3646.0
79529,230966875.0,1237487.0
51533,213611882.0,29760.0
67215,42961911.0,727281.0
74011,61282997.0,5107555.0
61490,101965346.0,31883.0
76252,479189521.0,1229851.0
92003,44960330.0,714022.0
72084,512431462.0,1097164.0
95443,10840825.0,18896.0
64082,49906280.0,2208008.0
51448,144010680.0,32777.0
84626,228706766.0,45601.0
74850,149371715.0,1651541.0
78963,107758029.0,1223202.0
91423,11300302.0,61357.0
64862,216861356.0,1590769.0
70757,127047665.0,204796.0
64146,12490847.0,59723.0
78340,56142651.0,38139878.0
87827,1538057814.0,766386.0
56186,162538451.0,174496.0
65237,245661898.0,161981.0
85704,46292081.0,164981.0
74901,30518751.0,934487.0
78113,728108072.0,6218173.0
94044,38007008.0,23854.0
65542,563001308.0,1321246.0
64076,313597236.0,2633898.0
67057,424293047.0,817122.0
87041,357490447.0,5954021.0
72773,80232484.0,307428.0
68106,13056365.0,51737.0
72347,245125046.0,79863.0
74565,30300119.0,43229.0
66416,91072821.0,115001.0
71940,279505947.0,1787050.0
79707,183423594.0,535471.0
76627,229342566.0,4840481.0
84049,215986423.0,10468874.0
72015,212124714.0,728303.0
62036,74103883.0,11401358.0
51542,92260802.0,619914.0
64501,9351795.0,602117.0
67738,769711158.0,169176.0
83312,333739401.0,40449.0
78112,130825825.0,6012796.0
81144,732605020.0,547738.0
71944,108628065.0,541991.0
63090,211578722.0,5136966.0
68104,17064798.0,45442.0
84109,159699863.0,7263.0
68958,192978363.0,212821.0
80015,37159546.0,525772.0
85215,214484428.0,5606160.0
64745,8133944.0,318032.0
75068,70998953.0,19791141.0
67487,250238120.0,713059.0
69143,618244416.0,1242683.0
72469,199089322.0,2517982.0
95136,12072092.0,50274.0
74957,606288162.0,1532216.0
69129,797518378.0,207987.0
78657,102134145.0,8349979.0
93653,614774592.0,9481599.0
78735,53217085.0,502.0
75779,2228474.0,9958.0
62345,55969004.0,14318.0
87752,2259873891.0,2441948.0
77535,813038624.0,8896690.0
72166,263813253.0,20313808.0
56185,113578775.0,115298.0
64722,98950508.0,1170184.0
64149,22112866.0,720964.0
87418,158851911.0,18404.0
74338,429639670.0,1347700.0
72840,135532576.0,6722033.0
64484,187789205.0,8455791.0
63039,9914167.0,22379.0
72394,213334776.0,4666531.0
92352,24986800.0,3045998.0
68059,125671528.0,4691336.0
85335,25839477.0,135211.0
87056,1264747679.0,67052.0
71367,172884044.0,8299656.0
57382,1141249829.0,12819713.0
75090,199214607.0,117732.0
62095,17987420.0,222627.0
57385,596628729.0,3354384.0
87305,592204645.0,13643.0
69155,912461298.0,1434575.0
93218,166889825.0,36084.0
65571,470824204.0,191081.0
76670,181140306.0,1844111.0
68732,121472510.0,11044.0
91792,9951065.0,1425.0
85658,579476808.0,10742.0
73092,144909823.0,4616710.0
65256,129631606.0,172659.0
75002,96333560.0,5303329.0
95490,1015731152.0,2249412.0
67853,785890292.0,198111.0
94567,340358579.0,6256691.0
74936,63449264.0,3442839.0
64623,181944050.0,1109553.0
77451,2991784.0,24058.0
95645,331651836.0,5600085.0
82072,558977801.0,1169832.0
93308,818436723.0,1790907.0
85617,571345468.0,955462.0
73944,578271344.0,340765.0
78219,35643935.0,181059.0
66226,29868705.0,1735652.0
77625,801278662.0,3194566.0
65717,356371456.0,49588.0
68642,335647330.0,483599.0
64037,259220435.0,2763611.0
68835,252766683.0,3065858.0
91040,21245970.0,13753.0
91024,7646970.0,11544.0
67849,322377589.0,83434.0
73627,262442669.0,1292609.0
77961,105190986.0,126505.0
64689,89205168.0,822353.0
72006,497149827.0,13418591.0
93454,1105975935.0,9788908.0
85007,11827228.0,46104.0
75686,600684236.0,32416472.0
77586,33641505.0,6110267.0
76177,37444717.0,231409.0
64750,80847141.0,775081.0
81226,212781912.0,1080383.0
67757,531801951.0,191988.0
57325,566597505.0,68250866.0
51577,206915831.0,63177.0
93430,187119485.0,12013165.0
57367,9607220.0,695987.0
62081,63397371.0,45222.0
65767,223305187.0,2231565.0
71407,35568094.0,162879.0
68108,8351322.0,249314.0
64671,220405062.0,871807.0
92518,30773068.0,36998.0
81235,1398023748.0,2319184.0
79566,409443992.0,1026991.0
72459,257523485.0,688234.0
68450,323967080.0,430816.0
76060,19161176.0,77765.0
65809,45942938.0,418178.0
92567,76382862.0,398252.0
72023,243915668.0,2045954.0
68040,92107573.0,432973.0
78539,34033188.0,149098.0
77630,234678044.0,33495310.0
57075,175989931.0,10697164.0
74525,1081194451.0,27687363.0
82516,617205497.0,8640531.0
71959,158573245.0,577342.0
68942,376304638.0,244028.0
74747,1107282.0,9358.0
68127,17234663.0,52428.0
94158,1800349.0,1246229.0
76643,20837915.0,14990.0
75142,449188099.0,5722182.0
68157,6503548.0,33187.0
93003,53298195.0,256848.0
71414,1581454.0,20437.0
79714,1990006623.0,101667.0
95650,63861153.0,477181.0
78744,55501476.0,12136.0
66035,139217802.0,653520.0
73073,299907605.0,476196.0
68310,539607177.0,5953611.0
70762,49954567.0,1274997.0
77334,37109049.0,267901.0
72534,160150903.0,40278.0
39170,257594058.0,1330749.0
70121,9711491.0,1476255.0
63654,193674833.0,2257570.0
56263,128482447.0,691055.0
51033,163378613.0,121813.0
75933,192592800.0,685364.0
68326,117482638.0,115673.0
76043,355726513.0,10369355.0
61480,164537833.0,23126.0
95615,60133051.0,2145021.0
87419,758069927.0,38322059.0
66227,34358006.0,153381.0
94931,16452953.0,29015.0
63558,292432521.0,2117284.0
66858,201094268.0,363930.0
74366,95312879.0,7310045.0
79748,143167072.0,217404.0
76622,136535042.0,1610075.0
